name,street,place,dist,diesel,e5,e10,isOpen,houseNumber,postCode
Aral Tankstelle,Prinzenstraße,Berlin,0.7,1.739,1.789,1.729,True,29,10969
Shell Berlin Oranienstr. 138,Oranienstr.,Berlin,0.7,1.699,1.769,1.709,True,138,10969
Esso Tankstelle,GNEISENAUSTR. 104-106,BERLIN,1.0,1.719,1.829,1.799,True,,10961
Aral Tankstelle,Skalitzer Straße,Berlin,1.5,1.699,1.809,1.749,True,26,10999
TotalEnergies Berlin,Tempelhofer Ufer,Berlin,1.6,1.729,1.799,1.739,True,33-35,10963
Aral Tankstelle,Dudenstraße,Berlin,2.1,1.689,1.829,1.769,True,19,10965
JET BERLIN KREUZBERGSTR. 41,KREUZBERGSTR.,BERLIN,2.1,1.719,1.779,1.719,True,41,10965
Aral Tankstelle,Holzmarktstraße,Berlin,2.1,1.719,1.759,1.699,True,12/14,10179
Shell Berlin Skalitzer Str. 48,Skalitzer Str.,Berlin,2.2,1.699,1.789,1.729,True,48,10997
Sprint Berlin Reuter Str.,Reuter Str.,Berlin,2.6,1.699,1.809,1.749,True,18-19,12043
Aral Tankstelle,Vor dem Schlesischen Tor,Berlin,3.4,1.739,1.789,1.729,True,,10997
TotalEnergies Berlin,Prenzlauer Allee,Berlin,3.4,1.719,1.749,1.689,True,1-4,10405
Aral Tankstelle,Sonnenallee,Berlin,3.5,1.709,1.839,1.779,True,113,12045
Shell Berlin Martin-Luther-Str. 29,Martin-Luther-Str.,Berlin,3.6,1.729,1.819,1.759,True,29,10777
Shell Berlin Paulstr. 20,Paulstr.,Berlin,3.7,1.729,1.769,1.729,True,20,10557
TotalEnergies Berlin,Schoeneberger Str,Berlin,3.8,1.709,1.809,1.749,True,17,12103
Esso Tankstelle,MARTIN-LUTHER-STR. 67,BERLIN,3.8,1.729,1.819,1.789,True,,10779
Shell Berlin Sachsendamm 90-92,Sachsendamm,Berlin,3.9,1.709,1.789,1.749,True,90-92,10829
Aral Tankstelle,Schöneberger Straße,Berlin,3.9,1.749,1.859,1.799,True,19-20,12103
Aral Tankstelle,Rathenower Straße,Berlin,4.1,1.739,1.809,1.749,True,8,10559
Shell Berlin Manteuffelstr. 6-7,Manteuffelstr.,Berlin,4.2,1.709,1.819,,True,6-7,12103
TotalEnergies Berlin,Margarete-Sommer-Str.,Berlin,4.4,1.719,1.769,1.709,True,2,10407
TotalEnergies Berlin,Chausseestr.,Berlin,4.5,1.719,1.769,1.709,True,61-62,10115
Esso Tankstelle,LESSINGSTR. 4,BERLIN,4.5,1.729,1.789,1.729,True,,10555
Aral Tankstelle,Brunnenstraße,Berlin,4.6,1.739,1.769,1.709,True,119,13355
SB-Markttankstelle Berlin Bessemer Str.,Bessemer Str.,Berlin,4.7,1.689,1.789,1.729,True,57,12103
Shell Berlin Bundesallee 200,Bundesallee,Berlin,4.7,1.739,1.769,1.729,True,200,10717
JET BERLIN KARL-MARX-STR. 259-263,KARL-MARX-STR.,BERLIN,4.8,1.699,1.809,1.749,True,259-263,12057
Shell Berlin Hauptstr. 91,Hauptstr.,Berlin,4.8,1.719,1.799,1.759,True,91,12159
Hans Engelke Energie OHG,Tempelhofer Weg,Berlin,4.8,1.568,1.678,1.648,True,10,12099
Sprint Berlin Kniprodestr.,Kniprodestr.,Berlin,4.8,1.709,1.759,1.699,True,25,10407
Shell Berlin Karl-Marx-Str. 267,Karl-Marx-Str.,Berlin,4.8,1.719,1.849,1.789,True,267,12057
TotalEnergies Berlin,Storkower Str.,Berlin,5.0,1.719,1.769,1.709,True,174,10369
Aral Tankstelle,Hauptstraße,Berlin,5.0,1.729,1.829,1.769,True,86,12159
Aral Tankstelle,Levetzowstraße,Berlin,5.0,1.739,1.809,1.749,True,9,10555
Westfehling Tankstelle GmbH,Quitzowstrasse,Berlin,5.2,1.669,1.759,1.699,True,33,10559
JET BERLIN STORKOWER STR. 126-130,STORKOWER STR.,BERLIN,5.2,1.669,1.719,1.659,True,126-130,10407
Elan Berlin,Storkower Str.,Berlin,5.2,1.709,1.759,1.699,True,116,10407
TotalEnergies Berlin,Britzer Damm,Berlin,5.4,1.709,1.819,1.759,True,60-62,12347
TotalEnergies Berlin,Arnulfstr.,Berlin,5.4,1.709,1.809,1.749,True,98-99,12105
Aral Tankstelle,Grenzallee,Berlin,5.4,1.759,1.819,1.759,True,6,12057
Q1 Tankstelle,Mariendorfer Damm,Berlin,5.4,1.679,1.789,1.729,True,11-13,12109
Sprint Berlin Lietzenburger Str.,Lietzenburger Str.,Berlin,5.5,1.729,1.779,1.719,True,97,10719
SB Berlin Fraunhofer Straße 33-36,Fraunhofer Straße,Berlin,5.5,1.669,1.759,1.699,True,33-36,10587
Aral Tankstelle,Bismarckstraße,Berlin,5.6,1.769,1.839,1.779,True,2,10625
TotalEnergies Berlin,Bulgarische Str.,Berlin,5.6,1.709,1.769,1.709,True,9,12435
Aral Tankstelle,Blissestraße,Berlin,5.6,1.739,1.809,1.749,True,21,10713
BERLIN - WESTHAFENSTRASSE 1,Westhafenstrasse,Berlin,5.7,1.699,1.769,1.709,True,1,13353
Esso Tankstelle,MARIENDORFER DAMM 44,BERLIN,5.8,1.709,1.819,1.759,True,,12109
Shell Berlin Kaiserin-Auguste-Allee 9-9 A,Kaiserin-Auguste-Allee,Berlin,5.9,1.709,1.769,1.709,True,9-9 A,10553
Shell Berlin Buchberger Str. 30,Buchberger Str.,Berlin,5.9,1.729,1.739,1.699,True,30,10365
Aral Tankstelle,Beusselstraße,Berlin,5.9,1.709,1.769,1.709,True,55,10553
Sprint Berlin Körnerstr.,Körnerstr.,Berlin,5.9,1.699,1.809,1.749,True,48 a,12157
Esso Tankstelle,BUSCHKRUGALLEE 84-92,BERLIN,5.9,1.719,1.839,1.779,True,,12359
Shell Berlin Tempelhofer Weg 102,Tempelhofer Weg,Berlin,6.0,1.719,1.839,1.779,True,102,12347
"Berlin, Attilastr. 124",Attilastr.,Berlin,6.1,1.699,1.809,1.749,True,124,12105
Shell Berlin Juelicher Str. 1,Juelicher Str.,Berlin,6.1,1.729,1.759,1.699,True,1,13357
Aral Tankstelle,Westfaelische Straße,Berlin,6.2,1.739,1.809,1.749,True,9-10,10709
Shell Berlin Bergstr. 31/32,Bergstr.,Berlin,6.2,1.709,1.799,1.739,True,31/32,12169
Shell Berlin Prinzenallee 20,Prinzenallee,Berlin,6.2,1.719,1.749,1.709,True,20,13357
Sprint Berlin Mecklenburgische Str.,Mecklenburgische Str.,Berlin,6.3,1.729,1.779,1.719,True,76,10713
Shell Berlin Berliner Str. 83,Berliner Str.,Berlin,6.3,1.719,1.719,1.679,True,83,13189
Aral Tankstelle,Seestraße,Berlin,6.4,1.769,1.799,1.739,True,18/19,13353
Shell Berlin Hohenzollerndamm 41,Hohenzollerndamm,Berlin,6.4,1.729,1.779,1.739,True,41,10713
Shell Berlin Beusselstr. 44 N-Q,Beusselstr.,Berlin,6.4,1.729,1.809,1.759,True,44 N-Q,10553
TotalEnergies Berlin,Spaethstr.,Berlin,6.5,1.709,1.809,1.759,True,158,12359
Aral Tankstelle,Frankfurter Allee,Berlin,6.5,1.769,1.789,1.729,True,214,10365
Aral Tankstelle,Britzer Damm,Berlin,6.5,1.729,1.869,1.809,True,202-204,12347
star Tankstelle,Steglitzer Damm,Berlin,6.5,1.699,1.809,1.749,True,77,12169
JET BERLIN HERZBERGSTR. 27,HERZBERGSTR.,BERLIN,6.7,1.619,1.719,1.659,True,27,10365
Aral Tankstelle,Kaiser-Friedrich-Str.,Berlin,6.7,1.739,1.799,1.739,True,45 B,10627
Sprint Berlin Residenzstr.,Residenzstr.,Berlin,6.8,1.709,1.739,1.679,True,79,13409
Elan Berlin,Tino-Schwierzina-Str.,Berlin,6.9,1.719,1.739,1.679,True,37,13089
star Tankstelle,Otto-Suhr-Allee,Berlin,6.9,1.669,1.759,1.699,True,132,10585
JET BERLIN PRENZLAUER PROMENADE 42 A,PRENZLAUER PROMENADE,BERLIN,6.9,1.699,1.709,1.649,True,42 A,13089
Shell Berlin Kaiser-Friedrich-Str. 95,Kaiser-Friedrich-Str.,Berlin,6.9,1.739,1.799,1.739,True,95,10585
Aral Tankstelle,Suedwestkorso,Berlin,7.0,1.739,1.819,1.759,True,36 A,14197
star Tankstelle,Kaiser-Friedrich-Straße,Berlin,7.0,1.669,1.759,1.699,True,102,10585
TotalEnergies Berlin,Indira-Gandhi-Str.,Berlin,7.0,1.619,1.749,1.689,True,106-109,13053
JET BERLIN SIEGFRIEDSTR. 179,SIEGFRIEDSTR.,BERLIN,7.1,1.619,1.739,1.679,True,179,10365
Aral Tankstelle,Mühlenstraße,Berlin,7.1,1.719,1.739,1.679,True,26,13187
Shell Berlin Mariendorfer Damm 170/172,Mariendorfer Damm,Berlin,7.1,1.699,1.809,1.749,True,170/172,12107
Bavaria Petrol,Heilbronner Straße,Berlin,7.2,1.719,1.789,1.729,True,14-15,10711
